date,rate,prestart time,total time,bytes
2018-07-05T16:18:09,1383458,0.066081,8.338803,11536384
2018-07-05T16:19:17,1658394,0.061636,6.956355,11536384
2018-07-05T17:17:00,499470,0.064385,23.09724,11536384
2018-07-05T17:18:23,301243,0.068821,38.295931,11536384
2018-07-05T17:20:01,374902,0.07009,30.771732,11536384
2018-07-05T18:17:00,565765,0.176505,20.390754,11536384
2018-07-05T18:18:20,598825,0.078688,19.265033,11536384
2018-07-05T18:19:40,584071,0.072715,19.751662,11536384
2018-07-05T19:17:00,6409999,0.061805,1.799748,11536384
2018-07-05T19:18:02,5999839,0.053008,1.922782,11536384
2018-07-05T19:19:04,5653410,0.055376,2.040606,11536384
2018-07-05T20:17:00,6218629,0.0641,1.855133,11536384
2018-07-05T20:18:02,7101730,0.058325,1.624447,11536384
2018-07-05T20:19:04,7122495,0.06397,1.619711,11536384
2018-07-05T21:17:00,3665676,0.112519,3.147136,11536384
2018-07-05T21:18:03,4909195,0.087873,2.349954,11536384
2018-07-05T21:19:05,5235873,0.081594,2.203335,11536384
2018-07-05T22:17:01,5638172,0.086497,2.046121,11536384
2018-07-05T22:18:03,6346022,0.071064,1.817892,11536384
2018-07-05T22:19:05,6286631,0.086949,1.835066,11536384
2018-07-05T23:17:00,6287217,0.079949,1.834895,11536384
2018-07-05T23:18:02,6095544,0.075101,1.892593,11536384
2018-07-05T23:19:04,6432516,0.072623,1.793448,11536384
2018-07-06T00:17:00,6335515,0.053539,1.820907,11536384
2018-07-06T00:18:02,6386151,0.073123,1.806469,11536384
2018-07-06T00:19:04,6127668,0.077835,1.882671,11536384
2018-07-06T01:17:00,5091961,0.090764,2.265607,11536384
2018-07-06T01:18:03,5989631,0.078619,1.926059,11536384
2018-07-06T01:19:05,6388223,0.070691,1.805883,11536384
2018-07-06T02:17:00,6291390,0.08413,1.833678,11536384
2018-07-06T02:18:02,6276108,0.051054,1.838143,11536384
2018-07-06T02:19:04,6226603,0.059778,1.852757,11536384
2018-07-06T03:17:01,3258016,0.136581,3.540923,11536384
2018-07-06T03:18:04,6363226,0.075158,1.812977,11536384
2018-07-06T03:19:06,6240940,0.076824,1.848501,11536384
2018-07-06T04:17:00,5539725,0.116598,2.082483,11536384
2018-07-06T04:18:02,5279212,0.05853,2.185247,11536384
2018-07-06T04:19:05,6463680,0.052136,1.784801,11536384
2018-07-06T05:17:00,6489718,0.079174,1.77764,11536384
2018-07-06T05:18:02,6221234,0.082041,1.854356,11536384
2018-07-06T05:19:04,6330606,0.083923,1.822319,11536384
2018-07-06T06:17:00,5960667,0.146734,1.935418,11536384
