Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
Midwest/ Plains Tornadoes April 1994,1994,Tornadoes,1994-04-25,1994-04-27,"Tornadoes and severe storms cause damage in states across the South, Southeast and Midwest. The states impacted include TX, OK, AR, CO, KS, NE, IA, SD, IL, IN, MN and MO.",$1.7,3,Tornadoes 1994,Other,Tornadoes 1994
Southeast Ice Storm February 1994,1994,Winter Storm,1994-02-08,1994-02-13,"Intense ice storm with extensive damage in portions of TX, OK, AR, LA, MS, AL, TN, GA, SC, NC, and VA.",$5.0,9,Winter Storm 1994,Other,Winter Storm 1994
"Winter Storm, Cold Wave January 1994",1994,Winter Storm,1994-01-17,1994-01-20,"Winter storm affects the Southeast and Northeast regions. The states impacted include CT, DE, IL, IN, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT and WV.",$1.7,70,Winter Storm 1994,Other,Winter Storm 1994 2
California Wildfires Fall 1993,1993,Wildfires,1993-09-01,1993-11-30,"Dry weather, high winds and wildfires in Southern California",$2.4,4,Wildfires 1993,Other,Wildfires 1993
Southeast Drought/ Heat Wave Summer 1993,1993,Drought,1993-06-01,1993-08-31,"Drought and heat wave across Southeastern U.S. The states most impacted include AL, FL, GA, MD, NC, SC, TN, and VA.",$2.2,16,Drought 1993,Other,Drought 1993
Midwest Flooding Summer 1993,1993,Flooding,1993-06-27,1993-08-15,"Severe, widespread flooding in central U.S. due to persistent heavy rains and thunderstorms. There was extensive damage to agriculture, infrastructure, homes and businesses in many areas across several states. Many river stations also established new records for historical flood heights. This is the most costly non-tropical, inland flood event to affect the United States on record.",$36.1,48,Flooding 1993,Other,Flooding 1993
East Coast Blizzard and Severe Weather March 1993,1993,Winter Storm,1993-03-11,1993-03-14,"The ""Storm of the Century"" impacts the entire Eastern seaboard from Florida to Maine. This historic storm dumped 2-4 feet of snow and caused hurricane force winds across many Eastern and Northeastern states. This caused power outages to over 10 million households. Additional impacts included numerous tornadoes across Florida causing substantial damage. This is the most destructive and costly winter storm to affect the United States since at least 1980.",$9.5,270,Winter Storm 1993,Other,Winter Storm 1993
Northeast Winter Storm December 1992,1992,Winter Storm,1992-12-10,1992-12-13,"Slow-moving winter storm batters northeast U.S. coast, with the New England region hardest hit. The states impacted include VA, MD, DE, PA, NJ, NY, CT, RI, MA and WV.",$4.4,19,Winter Storm 1992,Other,Winter Storm 1992
Hurricane Iniki September 1992,1992,Hurricane,1992-09-11,1992-09-12,Category 4 hurricane causes severe damage to the Hawaiian island of Kauai. Hurricane Iniki is the costliest and deadliest hurricane to affect Hawaii since 1900.,$5.5,7,Iniki 1992,Hurricane,Iniki 1992
Hurricane Andrew August 1992,1992,Hurricane,1992-08-23,1992-08-27,"Category 5 hurricane hits Florida and later impacts Louisiana as a category 3. High winds damage or destroy over 125,000 homes and leave at least 160,000 people homeless in Dade County, Florida alone. Initially rated as a category 4, Andrew was later upgraded to a category 5 upon further analysis. Andrew joins Hurricane Camille (1969) and the Labor Day Hurricane (1935), as the only land falling category 5 hurricanes on record to affect the U.S. mainland. Adjusted to present-day dollars, Andrew is the 3rd most costly hurricane to impact the U.S. since 1980, after Katrina (2005) and Sandy (2012).",$47.8,61,Andrew 1992,Hurricane,Andrew 1992
"Severe Storms, Hail June 1992",1992,Severe Weather,1992-06-19,1992-06-20,Severe storms with hail hit Kansas and Oklahoma,$1.3,0,Severe Weather 1992,Other,Severe Weather 1992 2
"Hail, Tornadoes April 1992",1992,Hail Storm,1992-04-28,1992-04-29,Severe Storms hit Oklahoma and Texas with tornadoes and hail,$1.7,0,Hail Storm 1992,Other,Hail Storm 1992
Severe Storms March 1992,1992,Severe Weather,1992-03-24,1992-03-25,"Severe storms affect the South, Southeast. The states most impacted include Texas, Louisiana and Florida.",$1.4,0,Severe Weather 1992,Other,Severe Weather 1992
Oakland Firestorm October 1991,1991,Wildfires,1991-10-01,1991-10-31,"Oakland, California firestorm due to low humidity and high winds burned over 3,000 homes. This is the costliest urban wildfire to affect the United States since 1980.",$6.0,25,Wildfires 1991,Other,Wildfires 1991
U.S. Drought Spring-Summer 1991,1991,Drought,1991-03-01,1991-08-31,"Drought conditions over parts of the West, Central and eastern U.S. most affected the states IL, IN, KS, MN, OH, OR, PA, SD, and WA.",$5.5,0,Drought 1991,Other,Drought 1991
Hurricane Bob August 1991,1991,Hurricane,1991-08-18,1991-08-20,Category 2 hurricane brushes the Outer Banks of North Carolina before making landfall in Rhode Island. Its impacts were felt from North Carolina to Long Island and into New England.,$2.7,18,Bob 1991,Hurricane,Bob 1991
"Severe Storms, Tornadoes March 1991",1991,Severe Weather,1991-03-26,1991-03-29,"Severe storms hit the Midwest, Southeast, Northeast. The states impacted include KS, IL, MI, IN, MS, TN, KY, OH, AL, PA, NY, GA, SC and NC.",$1.2,0,Severe Weather 1991,Other,Severe Weather 1991
California Freeze December 1990,1990,Freeze,1990-12-18,1990-12-25,"Severe freeze in the Central and Southern San Joaquin Valley caused the loss of citrus, avocado trees, and other crops in many areas. Several days of subfreezing temperatures occurred, with some valley locations in the teens.",$6.5,0,Freeze 1990,Other,Freeze 1990
Colorado Hail Storm July 1990,1990,Hail Storm,1990-07-11,1990-07-11,"Denver, CO (including airport) hit by severe hail storm. This was the costliest hail storm on record for Colorado when it occurred.",$1.6,0,Hail Storm 1990,Other,Hail Storm 1990
Southern Flooding May 1990,1990,Flooding,1990-05-11,1990-05-19,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",$1.9,13,Flooding 1990,Other,Flooding 1990
"Winter Storm, Cold Wave December 1989",1989,Winter Storm,1989-12-21,1989-12-26,"Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",$1.4,100,Winter Storm 1989,Other,Winter Storm 1989
Florida Freeze December 1989,1989,Freeze,1989-12-23,1989-12-25,Severe freeze damages citrus crops across central/northern Florida.,$4.0,10,Freeze 1989,Other,Freeze 1989
Northern Plains Drought Summer-Fall 1989,1989,Drought,1989-06-01,1989-11-30,"Severe summer drought over much of the northern plains with significant losses to agriculture. The states impacted include CO, IA, IL, KS, MO, ND, NE, NV, SD, TX and UT.",$6.1,0,Drought 1989,Other,Drought 1989
Hurricane Hugo September 1989,1989,Hurricane,1989-09-21,1989-09-22,Category 4 hurricane devastates South and North Carolina with ~20 foot storm surge and severe wind damage after hitting Puerto Rico and the U.S. Virgin Islands,$18.2,86,Hugo 1989,Hurricane,Hugo 1989
Severe Storms May 1989,1989,Severe Weather,1989-05-01,1989-05-06,"Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",$1.1,21,Severe Weather 1989,Other,Severe Weather 1989
U.S. Drought/ Heatwave Summer 1988,1988,Drought,1988-06-01,1988-08-31,"1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",$42.4,454,Drought 1988,Other,Drought 1988
Southeast Drought/ Heatwave Summer 1986,1986,Drought,1986-06-01,1986-08-31,"Severe summer drought in parts of the southeastern U.S. with severe losses to agriculture. The states impacted include AL, AR, GA, LA, MS, NC, SC, TN and VA.",$4.0,100,Drought 1986,Other,Drought 1986
Western Severe Storms and Flooding February 1986,1986,Flooding,1986-02-14,1986-02-16,"Severe storms and flooding affect the states CA, CO, NV, OR, WY across the West.",$1.2,13,Flooding 1986,Other,Flooding 1986
Hurricane Juan October 1985,1985,Hurricane,1985-10-27,1985-10-31,"Category 1 hurricane makes landfall near Morgan City, Louisiana. Hurricane Juan's slow movement causes severe flooding in Louisiana, Mississippi, Alabama and Florida. Southern Louisiana was most severely affected due to widespread rainfall of 10-15 inches that caused substantial flooding.",$3.5,63,Juan 1985,Hurricane,Juan 1985
Hurricane Gloria September 1985,1985,Hurricane,1985-09-26,1985-09-28,"Category 2 hurricane makes several landfalls along the eastern seaboard, affecting states from North Carolina to Maine.",$2.0,11,Gloria 1985,Hurricane,Gloria 1985
Hurricane Elena September 1985,1985,Hurricane,1985-08-30,1985-09-03,"Category 3 hurricane approaches the Florida Panhandle prior to landfall near Biloxi, Mississippi. Considerable wind and rain impacts were felt from Florida to Louisiana.",$3.0,4,Elena 1985,Hurricane,Elena 1985
Florida Freeze January 1985,1985,Freeze,1985-01-20,1985-01-22,Severe freeze over central/northern Florida damages citrus crops.,$2.8,0,Freeze 1985,Other,Freeze 1985
"Winter Storm, Cold Wave January 1985",1985,Winter Storm,1985-01-19,1985-01-22,"Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",$1.9,150,Winter Storm 1985,Other,Winter Storm 1985
Severe Storms and Hail June 1984,1984,Severe Weather,1984-06-13,1984-06-17,"Severe storms and hail impact Colorado, South Dakota and Nebraska.",$1.1,1,Severe Weather 1984,Other,Severe Weather 1984
"Tornadoes, Severe Storms, Floods Spring 1984",1984,Flooding,1984-03-27,1984-04-07,"States in the Southeast and Northeast regions are impacted by tornadoes, severe storms, and flooding. The states impacted include GA, FL, SC, NC, VA, MD, DE, NJ, NY, PA, CT, MA and RI.",$1.4,80,Flooding 1984,Other,Flooding 1984
"Freeze, Cold Wave December 1983",1983,Freeze,1983-12-15,1983-12-25,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,$5.0,151,Freeze 1983,Other,Freeze 1983
Southeast Drought Summer 1983,1983,Drought,1983-06-01,1983-08-31,"1983 flash drought in the southeastern U.S. with losses to agriculture, most notably corn and soybeans. The states impacted include AL, AR, GA, KY, LA, MO, MS, NC, SC, TN and VA.",$7.4,0,Drought 1983,Other,Drought 1983
Hurricane Alicia August 1983,1983,Hurricane,1983-08-17,1983-08-20,"Category 3 hurricane makes landfall near Galveston, Texas with maximum sustained winds 115 mph. Hurricane Alicia was the first hurricane to hit the United States mainland since Hurricane Allen in August 1980.",$7.5,21,Alicia 1983,Hurricane,Alicia 1983
Western Storms & Flooding December 1982-March 1983,1983,Flooding,1982-12-13,1983-03-31,"Severe storms and flooding, especially in the states of WA, OR, CA, AZ, NV, ID, UT, and MT",$3.7,50,Flooding 1983,Other,Flooding 1983 2
Gulf States Storms and Flooding December 1982-January 1983,1983,Flooding,1982-12-01,1983-01-15,"Severe storms and flooding, especially in the states of TX, AR, LA, MS, AL, GA, and FL",$3.8,45,Flooding 1983,Other,Flooding 1983
Severe storms June 1982,1982,Severe Weather,1982-05-31,1982-06-10,"Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",$1.2,30,Severe Weather 1982,Other,Severe Weather 1982
Midwest/ Plains/ Southeast Tornadoes April 1982,1982,Tornadoes,1982-04-02,1982-04-04,"Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",$1.3,33,Tornadoes 1982,Other,Tornadoes 1982
"Midwest/ Southeast/ Northeast Winter Storm, Cold Wave January 1982",1982,Winter Storm,1982-01-08,1982-01-16,"Winter storm and coldwave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",$1.7,85,Winter Storm 1982,Other,Winter Storm 1982
"Severe Storms, Flash Floods, Hail, Tornadoes May 1981",1981,Flooding,1981-05-05,1981-05-10,"Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",$1.1,20,Flooding 1981,Other,Flooding 1981
Central/ Eastern Drought/ Heatwave Summer-Fall 1980,1980,Drought,1980-06-01,1980-11-30,"Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",$31.6,1260,Drought 1980,Other,Drought 1980
Hurricane Allen August 1980,1980,Hurricane,1980-08-07,1980-08-11,"Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",$1.9,13,Allen 1980,Hurricane,Allen 1980
Southern Severe Storms and Flooding April 1980,1980,Flooding,1980-04-10,1980-04-17,"Severe storms and flooding affect several states (AR, LA, MS) across the South.",$2.2,7,Flooding 1980,Other,Flooding 1980
