Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
Texas Tornadoes and Midwest Flooding December 2015,2015,Flooding,2015-12-26,2015-12-29,"A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather.",$2.1,50,Flooding 2015,Other,Flooding 2015 2
Western and Alaskan Wildfires Summer-Fall 2015,2015,Wildfires,2015-06-01,2015-11-30,"Wildfires burned over 10.1 million acres across the U.S. in 2015, surpassing 2006 for the highest annual total of U.S. acreage burned since record-keeping began in 1960. The most costly wildfires occurred in California where over 2,500 structures were destroyed due to the Valley and Butte wildfires with the insured losses alone exceeding 1.0 (1.1) billion. The most extensive wildfires occurred in Alaska where over 5 million acres burned within the state. There was extensive burnt acreage across other western states, most notably (OR, WA, ID, MT, ND, CO, WY, TX).",$3.2,12,Wildfires 2015,Other,Wildfires 2015
South Carolina and East Coast Flooding October 2015,2015,Flooding,2015-10-01,2015-10-05,"Historic levels of flooding impacted South Carolina causing widespread damage to many homes, businesses, public buildings and infrastructure. This interrupted commerce and closed major transportation corridors (such as I-95) for weeks as rivers slowly receded. Locally extreme rainfall totals exceeding 20-inches were common resulting from the convergence of a powerful low pressure system / frontal boundary and copious moisture from Hurricane Joaquin in the Atlantic.",$2.1,25,Flooding 2015,Other,Flooding 2015 3
Central and Northeast Severe Weather June 2015,2015,Severe Weather,2015-06-21,2015-06-25,"Severe storms across numerous Central and Northeast states (CO, CT, IA, IL, MD, MI, NJ, NY, PA, SD, VA, WI) with widespread hail and high wind damage.",$1.2,1,Severe Weather 2015,Other,Severe Weather 2015 3
Texas and Oklahoma Flooding and Severe Weather May 2015,2015,Flooding,2015-05-23,2015-05-26,"A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded 1.0 (1.1) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms.",$2.6,31,Flooding 2015,Other,Flooding 2015
Southern Plains Tornadoes May 2015,2015,Tornadoes,2015-05-06,2015-05-10,"Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma.",$1.3,4,Tornadoes 2015,Other,Tornadoes 2015
South/ Southeast Severe Weather April 2015,2015,Severe Weather,2015-04-18,2015-04-20,"Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas.",$1.3,0,Severe Weather 2015,Other,Severe Weather 2015 2
Midwest/ Ohio Valley Severe Weather April 2015,2015,Severe Weather,2015-04-07,2015-04-09,"Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois.",$1.6,2,Severe Weather 2015,Other,Severe Weather 2015
"Central and Eastern Winter storm, Cold Wave February 2015",2015,Winter Storm,2015-02-14,2015-02-20,"A large winter storm and associated cold wave impacted many central, eastern and northeastern states (CT, DE, GA, IL, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA). The city of Boston was particularly impacted as feet of snow continued to accumulate causing load-stress on buildings and clogging transportation corridors. Total, direct losses in Massachusetts alone exceed 1.0 (1.1) billion for this event, with considerable damage in many other states.",$3.1,30,Winter Storm 2015,Other,Winter Storm 2015
Western Drought 2014,2014,Drought,2014-01-01,2014-12-31,"Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years.",$4.2,0,Drought 2014,Other,Drought 2014
Rockies/ Plains Severe Weather September 2014,2014,Severe Weather,2014-09-29,2014-10-02,"Severe storms across the Rockies and Plains states (CO, KS, TX). Large hail and high winds created significant damage across eastern Colorado and Texas, particularly in the Dallas metro area.",$1.5,0,Severe Weather 2014,Other,Severe Weather 2014 3
Michigan and Northeast Flooding August 2014,2014,Flooding,2014-08-11,2014-08-13,"Heavy rainfall in excess of 5 inches caused significant flooding in cities across Michigan damaging thousands of cars, business, homes and other infrastructure. Flooding also occurred across Maryland and New York's Long Island, as the slow-moving storm system delivered 24-hour rainfall exceeding 6 and 12 inches, respectively, creating more flood damage. Islip, NY received 13.57 inches of rain over a 24-hour period on Aug 12-13 setting a new 24-hour precipitation record for New York.",$1.1,2,Flooding 2014,Other,Flooding 2014 2
Rockies/ Central Plains Severe Weather June 2014,2014,Severe Weather,2014-06-03,2014-06-05,"Severe storms across the Rockies and Central Plains states (NE, KS, WY, IA, AR). Wind gusts exceeding 90 mph and baseball to softball sized hail caused severe damage to structures and vehicles in central and eastern Nebraska.",$2.0,2,Severe Weather 2014,Other,Severe Weather 2014 2
Rockies/ Midwest/ Eastern Severe Weather May 2014,2014,Severe Weather,2014-05-18,2014-05-23,"Severe storms across the Rockies, Midwest and Eastern states (CO, MT, IA, IL, IN, OH, SC, VA, PA, DE, NY) with the most costly damage in Colorado, Illinois and Pennsylvania.",$3.9,0,Severe Weather 2014,Other,Severe Weather 2014
Midwest/ Southeast/ Northeast Tornadoes and Flooding April 2014,2014,Flooding,2014-04-27,2014-05-01,"Tornado outbreak across the Midwest, Southeast and Northeast states (AL, AR, DE, FL, GA, KS, MD, MO, MS, NC, NJ, NY, PA, TN, VA) with 83 confirmed tornadoes. Mississippi had its 3rd greatest number of tornadoes reported for any day since 1950. Torrential rainfall in the Florida panhandle also caused major flooding, as Pensacola set new 1-day and 2-day precipitation records of 15.55 and 20.47 inches, respectively. Flooding rains were also reported in coastal Alabama, as Mobile received 11.24 inches of rain, the third greatest calendar day rainfall total for the city.",$1.8,33,Flooding 2014,Other,Flooding 2014
Plains Severe Weather April 2014,2014,Severe Weather,2014-04-02,2014-04-03,"Severe storms across the Plains states (IL, KS, MO, TX) causing considerable hail and wind damage in Texas.",$1.5,0,Severe Weather 2014,Other,Severe Weather 2014 4
