date,time,done,Day of Week
2018-12-28,29:44,1,Fri
2018-12-29,24:12,1,Sat
2018-12-30,66:10,0,Sun
2018-12-31,9:36,1,Mon
2019-01-01,17:13,1,Tue
2019-01-02,20:50,1,Wed
2019-01-03,21:18,0,Thu
2019-01-04,4:37,0,Fri
2019-01-05,36:56,1,Sat
2019-01-06,56:54,1,Sun
2019-01-07,9:06,1,Mon
2019-01-08,9:06,1,Tue
2019-01-09,15:27,1,Wed
2019-01-10,30:28,1,Thu
2019-01-11,30:51,1,Fri
2019-01-12,28:04,0,Sat
2019-01-13,49:27,1,Sun
2019-01-14,10:04,1,Mon
2019-01-15,13:40,1,Tue
2019-01-16,15:26,1,Wed
2019-01-17,23:45,1,Thu
2019-01-18,25:45,0,Fri
2019-01-19,45:51,0,Sat
2019-01-20,67:18,1,Sun
2019-01-21,9:26,1,Mon
2019-01-22,18:44,0,Tue
2019-01-23,14:22,0,Wed
2019-01-24,20:15,0,Thu
2019-01-25,27:11,1,Fri
2019-01-26,24:20,0,Sat
2019-01-27,59:03,1,Sun
2019-01-28,8:06,1,Mon
2019-01-29,8:54,1,Tue
2019-01-30,18:05,1,Wed
2019-01-31,24:39,1,Thu
2019-02-01,34:02,1,Fri
2019-02-02,30:32,0,Sat
2019-02-03,52:50,0,Sun
2019-02-04,8:04,1,Mon
2019-02-05,10:21,1,Tue
2019-02-06,16:03,1,Wed
2019-02-07,28:55,0,Thu
2019-02-08,20:16,1,Fri
2019-02-09,10:51,0,Sat
2019-02-10,42:43,1,Sun
2019-02-11,8:13,1,Mon
2019-02-12,11:03,1,Tue
2019-02-13,11:51,1,Wed
2019-02-14,22:02,1,Thu
2019-02-15,27:41,1,Fri
2019-02-16,26:17,1,Sat
2019-02-17,45:49,1,Sun
2019-02-18,6:53,1,Mon
2019-02-19,14:10,1,Tue
2019-02-20,13:48,1,Wed
2019-02-21,21:16,0,Thu
2019-02-22,19:58,0,Fri
2019-02-23,23:41,1,Sat
2019-02-24,52:44,1,Sun
2019-02-25,9:24,1,Mon
2019-02-26,18:14,1,Tue
2019-02-27,18:20,1,Wed
2019-02-28,18:53,1,Thu
2019-03-01,27:20,0,Fri
2019-03-02,21:06,0,Sat
2019-03-03,58:45,1,Sun
2019-03-04,12:11,1,Mon
2019-03-05,10:17,1,Tue
2019-03-06,17:01,1,Wed
2019-03-07,17:19,1,Thu
2019-03-08,31:31,1,Fri
2019-03-09,33:05,1,Sat
2019-03-10,63:43,1,Sun
2019-03-11,8:00,1,Mon
2019-03-12,0:00,0,Tue
2019-03-13,19:15,1,Wed
2019-03-14,0:00,0,Thu
2019-03-15,0:00,0,Fri
2019-03-16,0:00,0,Sat
2019-03-17,65:32,0,Sun
2019-03-18,14:09,1,Mon
2019-03-19,11:23,1,Tue
2019-03-20,15:05,1,Wed
2019-03-21,21:23,1,Thu
2019-03-22,41:25,0,Fri
2019-03-23,28:01,0,Sat
2019-03-24,47:23,1,Sun
2019-03-25,6:19,1,Mon
2019-03-26,10:49,1,Tue
2019-03-27,12:40,1,Wed
2019-03-28,30:08,1,Thu
2019-03-29,8:42,0,Fri
2019-03-30,48:09,0,Sat
2019-03-31,56:58,1,Sun
2019-04-01,5:57,1,Mon
2019-04-02,13:53,1,Tue
2019-04-03,12:52,1,Wed
2019-04-04,35:31,1,Thu
2019-04-05,28:51,0,Fri
2019-04-06,26:28,0,Sat
2019-04-07,41:30,1,Sun
2019-04-08,9:25,1,Mon
2019-04-09,20:36,1,Tue
2019-04-10,13:09,1,Wed
2019-04-11,29:55,0,Thu
2019-04-12,41:02,1,Fri
2019-04-13,34:50,1,Sat
2019-04-14,49:33,1,Sun
2019-04-15,6:52,1,Mon
2019-04-16,11:53,1,Tue
2019-04-17,11:08,1,Wed
2019-04-18,22:43,1,Thu
2019-04-19,21:28,1,Fri
2019-04-20,45:45,1,Sat
2019-04-21,61:13,1,Sun
2019-04-22,9:09,1,Mon
2019-04-23,14:54,1,Tue
2019-04-24,16:46,1,Wed
2019-04-25,28:31,1,Thu
2019-04-26,31:58,0,Fri
2019-04-27,9:30,0,Sat
2019-04-28,55:48,1,Sun
2019-04-29,9:28,1,Mon
2019-04-30,9:43,1,Tue
2019-05-01,17:14,1,Wed
2019-05-02,27:14,0,Thu
2019-05-03,17:46,0,Fri
2019-05-04,41:46,1,Sat
2019-05-05,66:17,1,Sun
2019-05-06,8:44,1,Mon
2019-05-07,10:57,1,Tue
2019-05-08,14:46,1,Wed
2019-05-09,22:05,1,Thu
2019-05-10,16:21,1,Fri
2019-05-11,54:49,1,Sat
2019-05-12,57:43,1,Sun
2019-05-13,10:27,1,Mon
2019-05-14,15:47,1,Tue
2019-05-15,17:01,1,Wed
2019-05-16,35:10,1,Thu
2019-05-17,33:42,1,Fri
2019-05-18,20:50,1,Sat
2019-05-19,70:03,1,Sun
2019-05-20,12:51,1,Mon
2019-05-21,12:28,1,Tue
2019-05-22,20:09,1,Wed
2019-05-23,26:59,1,Thu
2019-05-24,19:22,0,Fri
2019-05-25,32:50,0,Sat
2019-05-26,42:08,1,Sun
2019-05-27,8:20,1,Mon
2019-05-28,10:07,1,Tue
2019-05-29,18:47,1,Wed
2019-05-30,18:34,1,Thu
2019-05-31,31:03,0,Fri
